Continente,Pais,Suma de Población,Esperanza de Vida,Mortalidad Infantil
Europa,Mónaco,38499,89.5,5.43
Asia,Japón,126994511,85,3.26
Asia,Singapur,5607283,85,2.29
Asia,Macao,612167,84.5,4.39
Europa,San Marino,33203,83.3,5.73
Europa,Islandia,334252,83,3.31
Asia,Hong Kong,7346700,82.9,2.97
Europa,Andorra,77281,82.8,4.05
Europa,Suiza,8372098,82.6,4.39
Europa,Guernsey,164541,82.5,4.71
Asia,Israel,8547100,82.4,7.03
Asia,República de Corea,51245707,82.4,7.05
Europa,Luxemburgo,582972,82.3,4.81
Europa,Italia,60600590,82.2,5.94
Oceanía,Australia,24127159,82.2,4.69
Europa,Suecia,9903122,82.1,2.77
América,Canadá,36286425,81.9,4.75
Europa,Liechtenstein,37666,81.9,4.7
Europa,Francia,66896109,81.8,4.26
Europa,Noruega,5232929,81.8,3.7
Europa,España,46443959,81.7,4.42
Europa,Austria,8747358,81.5,4.66
América,Bermudas,65331,81.3,8.53
Europa,Países Bajos,17018408,81.3,5.04
América,Islas Caimán,60765,81.2,8.19
Europa,Isla de Man,83737,81.2,5.93
Oceanía,Nueva Zelanda,4692700,81.2,5.85
Europa,Bélgica,11348159,81,4.68
Europa,Finlandia,5495096,80.9,3.57
Europa,Irlanda,4773095,80.8,5.39
Europa,Alemania,82667685,80.7,4.16
Europa,Reino Unido,65637239,80.7,5.16
América,San Martín (Parte Francesa),31949,80.5,7.54
Europa,Grecia,10746740,80.5,5.53
Europa,Islas Feroe,49117,80.4,6.24
Europa,Malta,436947,80.4,3.89
América,Islas Virgenes de Los Estados Unidos,102951,80,8.03
América,Estados Unidos,323127513,79.8,6.5
América,Islas Turcas y Caicos,34900,79.8,15.67
Oceanía,Guam,162896,79.58,6.94
América,Puerto Rico,3411307,79.4,8.24
Europa,Dinamarca,5731118,79.4,4.56
Europa,Gibraltar,34408,79.4,5.13
Europa,Portugal,10324611,79.3,5.05
Asia,Baréin,1425171,78.9,17.27
América,Chile,17909754,78.8,8.8
América,Cuba,11475982,78.7,6.33
Asia,Qatar,2569804,78.7,18.61
Europa,Chipre,1170125,78.7,7.18
América,Costa Rica,4857274,78.6,9.95
América,Islas Virgenes Británicas,30661,78.6,18.05
América,Panamá,4034119,78.6,20.47
Europa,República Checa,10561633,78.6,3.93
